Glossary-EN,Description,Related Glossary
1:1 Call,A direct call between a Staff member and a visitor or colleague.,
1:1 Chat,A direct chat conversation between a Staff member and a visitor or colleague.,
2FA,See: Two-Factor Authentication,
360dialog,It is one of the WhatsApp Business Solution Providers (BSP) of CINNOX for the WhatsApp Channel and the WhatsApp Campaign.,
360dialog Client Hub,"It is the portal for 360dialog customers to manage and track their WhatsApp Business Account Information, WhatsApp Templates, and other information.",
Activated Staff Member,A Staff member who has created an account completed the verification processes and successfully logged in to the CINNOX Dashboard or App.,
Active Directory (AD),"A directory service developed by Microsoft to manage computers and other devices in a network. In CINNOX, Staff administrators can link and bind their service to Active Directory through the OAuth Service. This allows staff members to log in to CINNOX using their Microsoft AD account.",
Active Directory Federation Services (ADFS),Stands for Active Directory Federation Services. It is a software component developed by Microsoft to provide Single Sign-On (SSO) access to systems and applications across organisations. CINNOX requires the ADFS URL to configure and authenticate Staff member accounts so they can log in to CINNOX using their Microsoft Active Directory (AD) account.,
Add Staff to Enquiry,The enquiry owner can add another staff to join the enquiry room and join the conversation to help resolve the visitor's query.,
Administrator,A Staff member with an administrative role in CINNOX. They are responsible for configuring the service's feature settings and creating accounts for Staff members. An administrator role also includes the capabilities of an agent.,
Advanced Call System,The CINNOX Advanced Call System boosts your enquiry handling with advanced routing rules and prompts for your callers to listen to while waiting to connect with the most suitable agent.,
Advanced Messages,"Are messages incorporate customisable elements such as formats (e.g., Bubble, Quick Reply), texts, buttons with customisable functions and actions, and attached media files send in the chat room using chatbot.",
Agent,A Staff member is responsible for attending to enquiries from customers and visitors through the CINNOX Channels.,
Agentless Dialler,"Simultaneous dialling system that automatically transfers calls to available agents after an audio prompt, streamlining call routing.",
AI Assistant,"A feature designed to enhance customer service within the CINNOX Dashboard by configuring AI Engine, Chat Translation, and AI Suggested Label and Topic to deliver essential information, improve response times, and elevate the quality of responses.",
AI Engine,"An AI engine is a software system or platform that uses artificial intelligence (AI) algorithms and technologies to perform various tasks (e.g., OpenAI).",
AI Enquiry Summary,"AI-powered feature that provides concise summaries of long chats or call transcripts, saving time and improving decision-making.",
AI Model,A version of the AI Engine that uses deep learning techniques to generate human-like text responses based on given prompts or queries.,
AI Suggested Label and Topic,AI generates suggested topics and predefined labels based on conversations between agents and visitors. It includes labels manually created by the staff and topics generated by AI. Staff can easily add these labels to enquiries or contacts in the chat room and set AI-generated topics as labels.,
Allowlist,"A list of URLs, IP addresses, phone numbers, email addresses, staff names and others to be allowed in CINNOX.",
